Username,Total reviews,Location,Date,Review,Rating
Jack kaplan,40reviews,US,2025-02-08T02:46:10.000Z,"It is unbelievable how bad service…It is unbelievable how bad service Walmart has!  Walmart . Com is a JOKEWHY CANT THEY GET IT TOGETHER OR CAREWorst customer service. Ordered a grill 5 minutes later wanted to change the delivery date cannot do. On website no tab for phone number or support! Recording will Not let you speak to anyone finally after 20 minutes I had no choice but to cancel!  Amazon and Costco are such a pleasure to work with.  I bet they look at my review and laugh. Would love to speak with corporate and tell them they have real problems but they are so big and ignorant they will not care!  It’s a shame but when you do not spend any money on customer service that’s what you get.   A super frustrated customer.  Would never use them in the futureRating FDate of experience:February 07, 2025",1
Jesse Brown,1review,US,2025-02-12T04:28:43.000Z,"Employees should be more friendlyI don't often go to buy groceries at Walmart (it's 3km from my house), but the range of products is great. One thing tho, employees seem like they are on autopilot. I was scared someone messed up my bill since they don't look like paying attention. Honestly a smile would be nice 😂Date of experience:February 10, 2025",4
Neal Tanner,9reviews,GB,2025-02-03T21:23:17.000Z,"No wonder Trump wants to make big…No wonder Trump wants to make big changes . 3 times I tried to order online with my credit card and all were cancelled because Walmart are over sensitive to fraud. Now I have 3 pending transactions and no delivery. Walmart you are uselessDate of experience:February 03, 2025",1
Dolores Malish,16reviews,US,2025-02-05T06:01:44.000Z,"Useless InformationMy bank account was the object of fraud two days after I wrote a personal check, which is now in limbo due to needing to change the account number, to a Walmart in my city. I sent a certified letter to the store in which I asked how to pay the store the money that was lost. No response. I called the main number, and two people gave me the number for telecheck, which has an auto voice that babbles on mercilessly. All I want to do is pay this money. After this issue is resolved, ending my relationship with Walmart will be the happiest day of my life. So much talk, no solutions. Horrible service.Date of experience:February 02, 2025",1
renee maddox,1review,US,2025-02-11T16:23:33.000Z,"I pay a monthly fee to have my…I pay a monthly fee to have my groceries delivered. If my drop off window is between 9 and 11, my groceries should not be getting prepared when it should be done by 9. Another thing there's been times I paid to get quick delivery and it takes forever.Date of experience:February 09, 2025",2
jay hogan,25reviews,US,2025-02-01T16:03:28.000Z,"I will never order anything from…I will never order anything from Walmart again. The simplest of transactions is instantly turned into one giant pain in the ass due to a poorly constructed website and inept people that can't figure out how to fix a problem. Buyer beware: shop somewhere else unless you like headachesDate of experience:February 01, 2025",1
Michele Marks,11reviews,US,2025-02-04T20:10:53.000Z,"DEI stanceSince you wish to roll back your stance on DEI I am rolling back on my shopping at your stores.  I vow to never step another foot inside Walmart.  Furthermore, I am spreading the word on your practices to others.Date of experience:February 04, 2025",1
BlackRock is Evil,37K reviews,US,2025-01-30T01:31:58.000Z,"Walmart criminals cancelled my orderI placed an order.  Within hours, Walmart had CANCELLED my order (with no explanation).  I hate companies who do this!  I wish there were a way to severely punish Walmart for this kind of evil behavior; but all I can do is leave this review.  I don’t want to hear Walmart’s BS excuse for doing this.   How do I know their reason is BS?   Because their competition NEVER cancels my orders.Date of experience:January 29, 2025",1
Brianna Long,3.6K reviews,US,2025-02-11T15:04:06.000Z,"I am writing to express my serious…I am writing to express my serious concerns regarding my experiences at my local Walmart store. Each time I visit, I have been made to feel uncomfortable and harassed by members of the loss prevention team. I believe I am being unfairly profiled, and this has created an increasingly negative shopping experience for me.I have documented evidence, including video proof, showing that I am being followed during my visits. Despite my attempts to address this issue directly with the staff, I have not seen any change in their behavior towards me. I kindly ask that you investigate this matter, as it is affecting my willingness to shop at Walmart.I believe in the importance of a welcoming and respectful environment for all customers, and I hope to see improvements in how your loss prevention team interacts with customers moving forward.Date of experience:February 05, 2025",1
customer,14K reviews,US,2025-02-02T06:23:29.000Z,"My bank account was overcharged $19 for…My bank account was overcharged $19 for an order I placed in the app. When I contacted Walmart customer service they said this was to adjust for any potential items that needed to be replaced. Nothing was replaced and I was told it will take   2-3 days for my bank account to be credited for the difference. If this is normal business practice then they are screwing people out of money who don’t monitor their bank accounts and question the transactionsDate of experience:February 01, 2025",1
Sowmya Bendapudi,1review,US,2025-02-11T08:24:53.000Z,"WALMART DOESNT CARE FOR ITS WALMART+ CUSTOMERSI am relocating and had ordered some items from Walmart. While they were able to deliver a mattress they could not find my apartment when it came to delivering a sofa bed I had ordered. They dropped it at a FedEx Office. I had to take multiple cabs to get the package from FedEx. My new apartment is on the 3rd floor. I then had to get it all the way up to my place. The box was damaged and torn from all four sides. I opened the box and my sofa bed was torn too. The fabric on the underside is torn! I was very upset and tried to get fair compensation for all this inconvenience caused to me by Walmart. I was put through a painful process of chatting with multiple associates over 6 hours. I can name them- Taha, Karim, Mohammad, Ejar, Chinthakindhi, Ruhina, and a few more. They offered me $20 as remedy! This amount doesn't even cover the cost of my cab fares. I am a loyal Walmart + member and this is how they treat me! In fact, after moving I also happened to visit a local Walmart store and get some more items! Guess what not only is the store dirty, unkempt, and unorganized, they are selling damaged defective goods. I purchased a set of night lights and one of them is broken! I will have to again take a cab and return it! I do not have a vehicle and all the business I am doing with Walmart is costing me more than it would probably at a Target or Amazon! Walmart doesn't give you value savings anymore! Quit doing business with Walmart. They have no power to help you. They do not fulfill orders. They only inconvenience you and overcharge you on every purchase you do with them!Date of experience:February 09, 2025",1
Richard Gilmore,1review,US,2025-02-02T01:20:58.000Z,"Trying to cancel a large item order Walmart.comTrying to cancel a large item order on Walmart.com.  Instant results on Amazon but can takes days on Walmart.com.Purchased a large item but cannot get any results from Walmart for at least 2 business days. A real pain trying to cancel an item no longer needed.  Easy on Amazon, thought I would give Walmart a try but will most likely stay away from them for anything but small purchases.Date of experience:February 01, 2025",1
Sandy,2reviews,US,2025-02-02T06:47:45.000Z,"I took my time to Place 3 orders this…I took my time to Place 3 orders this Evening and all 3 orders were immediately cancelled. This is confusing as money is removed - then put back in my account . Confusing - as should I place the order again- I deleted 2 items and the final 3rd order was again immediately cancelled. Evidently all 6 items are out of stock? If items are out of stock - please list online - before I take my time to place orders. It seemed all items were out of stock? The AI chat Bot- of course failed to answer my concerns. Thanks of your time- have a great day!Date of experience:February 01, 2025",1
Matthew Thomas,4reviews,US,2025-02-04T00:28:48.000Z,"Store SucksStore Sucks, They treat there workers like crap, they support a fascist and do not like black and brown folks, they also used to take away peoples healthcareDate of experience:February 03, 2025",1
William Marzano,24reviews,US,2025-02-12T09:22:13.000Z,"I love Walmart just Hate  self check…I love Walmart just Hate  self check out im not being paid to ring my stuff up then be harassed at the door for my receiptDate of experience:February 10, 2025",5
Dennis Zeigler,2reviews,US,2025-02-04T13:45:25.000Z,"Walmart is a disgusting corrupt company…Walmart is a disgusting corrupt company and someday soon they will all be left empty and abandoned. I hope karma financially ruins this companyDate of experience:February 04, 2025",1
Pete McKinney,2reviews,US,2025-02-05T21:35:40.000Z,"WALLMART IS DEFINITELY PREJUDICEDI just get my EBT, or OTC cards filled in the beginning of the month like most people. I go to use either one, it goes through half my order, then rejects the rest of my order. Even throw I have not used either one for the month yet. It tells me that there is nothing on either one. The ""M*r*ns at walmart tell me I'm sorry there's nothing I can, you have to call your card. So I call my card they tell me to take it up with walmart. STAY AWAY FROM WALMART IF YOUR USING EITHER EBT OR OTC. I truly believe walmart does not  want to help the disabled.Date of experience:February 04, 2025",1
Starr,3reviews,US,2025-01-26T06:34:06.000Z,"They flagged my account for fraud…They flagged my account for fraud without cause, charged me twice, and cancelled my order leaving me to wait ten days for a refund and not being able to send groceries to my sister. I'm a plus member ordering 2-4 times a week and ever committed fraud or returns. Al. They could say was sorryDate of experience:January 25, 2025",1
Special K,2reviews,US,2025-01-31T17:27:21.000Z,"Every time I make a purchase at…Every time I make a purchase at walmart.com on my account my email gets blown up with hundreds of emails period my cell phone then starts receiving text messages from every imaginable ad you can think of exclamation point period I just spoke the customer service period I could barely understand the language period now Walmart is Outsourcing customer service out of the United States exclamation Point period it's not like they make a hundred billion dollars a year now they need to save money by Outsourcing customer service to other countries instead of the USA period I'm deleting my account period there's too many other shopping stores around that I can purchase from. I spend about $11,000 a year in groceries at Walmart for my family. That all ends no matter what happens today. I just purchased $300 in tires. I am returning that sale. Walmart does not care.Date of experience:January 31, 2025",1
Erick,6reviews,US,2025-01-30T09:52:15.000Z,"No DEI supportNo DEI support? Congrats! Now you and your competitor Target have more in common. Racism, and loss of business! Hope you both learn something from the empty parking lots :)Date of experience:January 29, 2025",1
R S,1review,US,2025-01-28T04:55:10.000Z,"Customer Srvce Reps lied . They made promises and never came through. provided empty lip service . LiarsI am housebound for the time being so I can not shop or return in stores.  I ordered an item(s) online, but they wouldn't let me ship it back, despite the fact that prior to my actually ordering the item,I made sure to speak to a walmart customer service representative who assured me that I would be able to  ship it back free of charge as they would provide a return shipping label.  When I complained,  they promised  to send me return labels via email. That never happened.  I called again and they apologized profusely and promised again. Again, no email, no return label. This scenario repeated itself several times.  Each time, profuse apology with a promise to send email with return label and nothing. This is a sham. They lied each time. Terrible experience. NO more WALMART.ONLY Amazon from now on.Date of experience:January 09, 2025",1
Kelly Moon,11reviews,US,2025-01-20T18:36:58.000Z,"Customer service is deadI purchased a tv online and the price changed by $100 two days later. I haven’t even received the tv yet, but your company refuses to refund the price difference. It’s a very simple situation that Amazon customer service would fix, but Walmart’s response is just “tough luck”. The customer means nothing to Walmart anymore. I’m asking for a price change to be honored for an item i have not received, and Walmart acts like i am indignant and demanding something outlandish.Date of experience:January 20, 2025",1
Tashana Smith,2reviews,US,2025-01-24T03:40:07.000Z,"WALMART.COM NEEDS TO DO BETTERThis Company Can Improve By Fully Doing Background Checks On Their Drivers. I Drive For Uber Eats And I Know That You Have A Responsibility To Accurately Care For Another's Property That You Were Trusted To Go And Purchase The Correct Items And Actually Deliver Them. I Have Photos That Shows That My Order Was Left At My Door, When They Are Required To Get A Passcode Upon Delivery. I Also Have Photos Saying It's Still In Progress Then Emails Stating My Order Will Be Late. And I Paid $27.50 For, Money I Don't Have To Just Waste. THIS WILL BE THE LAST TIME I USE WALMART.COM. VERY UNETHICAL BUSINESS.Date of experience:January 23, 2025",1
M. Fox,6reviews,US,2025-01-28T04:41:53.000Z,"Walmart's Poor Delivery ServicesMade a $160 one-item online purchase from Walmart and was offered only one option for delivery: the day of purchase. Would have been fine to wait a bit longer. Monitored email and my front porch all day with no delivery. Around 9:00 PM received a message that delivery was delayed and would be fulfilled within the next couple of days; we were fine with that, although we kept an eye out for delivery. Later that night we eventually stopped checking the porch or email for notices. Next morning we checked email and found two from Walmart. One came in at 9:35 saying the item was out for delivery, and a second at 9:41 said the item was delivered and included a photo to prove it. Well, the item was gone likely to ""porch pirates."" The delivery person left the item on the outside steps, ignoring a large and clear sign to deliver all packages to the inside of the porch, which is enclosed. Walmart will not take any responsibility for a substandard delivery and has declined to replace the item or offer a refund. They are just too big to care about the poor performance of third party delivery services.Date of experience:January 26, 2025",1
Joseph,68reviews,US,2025-01-16T21:15:33.000Z,"Walmart is stealing lootWe ordered tires a week ago. They were supposed to arrive 3 days ago via FedEx. FedEx has NOT delivered. After complaining our delivery was updated to an additional 3 days. We have contacted Walmart to cancel this super late order and Walmart WILL NOT cancel the order. They will NOT return our money. BE aware. If you place an order at Walmart.com, you will be stuck!!!!!!!!!Walmart has NOT delivered our order and has zero control over its shipment. They are holding our funds hostage!!!!! Do NOT Trust Walmart.Date of experience:January 16, 2025",1
King Cola,3reviews,US,2025-01-16T04:56:55.000Z,"website appears to be brokenSuddenly Walmart has to have this insufferable, long, anal ""press and hold"" button to make sure I'm a human and not a robot. It pops up repeatedly. Today I can't even get past it. Once it determines I'm human the little circle just spins and spins and won't let me get into the store to shop. Beyond annoying, it has made walmart.com unusable. I'll have to go back to Amazon until they remove that stupid button or at least fix it.Date of experience:January 14, 2025",1
Summer,2reviews,US,2025-01-17T18:42:21.000Z,"BoycottWalmart implements vague policies unbeknownst to the consumer after the fact. The result is previously approved return due to wrong shipping time delivery being denied even after they received the return. They are also able to disappear the return tracking number. Thank Bob for credit card charge-backs.Date of experience:January 16, 2025",1
WEDDING DAY FIASCO,2reviews,US,2025-01-27T00:38:45.000Z,"If ZERO stars were availableIf ZERO stars were available, it would still be too favorable a rating.The DEFAULT delivery address was the registry recipient.   I didn’t alter or touch it in any manner, but I did enter my billing address when I purchased 3 bulky heavy items for my niece’s housewarming. They showed up on MY doorstep today. I called and held the line for more than 45 minutes only to be told by some overseas CSR Walmart would NOT pick the erroneously delivered merch and redeliver as expected. I am expected to drive to the store, return the items and re-order, then hold my breath it won’t happen again. Totally useless. If I wanted the in/store experience I would have done that in the first place. Now I have to either schlep these items to the store (1 of which is at least 50 pounds) or drive 26 miles and schlep them to her doorstep. Never again. Amazon is the only way to go. It’s just a matter of time before Walmart follows KMart into oblivion-they just can’t compete on service, delivery or priceDate of experience:January 25, 2025",1
Mujidat Yusuf,2reviews,US,2025-01-27T04:15:31.000Z,"Incompetent ,Rude ,Unprofessional coach…Incompetent ,Rude ,Unprofessional coach Seth with the dreadlock, that one of his Mistress Who is a Walmart Associate  too paraded him as the Manager of Walmart Waldorf disgraced me as if  I  came to steal from them.I purchased hangers from their store so also purchase from online too. Unfortunately, some of the hangers were broken and i went to the store to return it. i was told that they cant collect the hangers from me that i should  go and call Walmart and ask them where they always gather all my online purchases and the 200pcs from so that i can return it to whichever store it is from so that i can take it back to the store.My daughter called the customer to ask them question and they answered that we can returned what we bought online to the store. When she said why did they not accept what her mom brought they were just saying nonsense ,they could not defend itDoes it make sense? You all need to train your Associate and put the good ones in all Department especially customer service.Date of experience:January 26, 2025",1
Michael Grant,1review,US,2025-01-30T02:00:14.000Z,"Bowling Green Ohio Walmart is very unprofessionalI went to Walmart in Bowling Green Ohio to shop for groceries and when I checked out groceries, the cashier was very incompetent at their duties and one of the shift managers who works in customer service was a very rude person to me and said he couldn't help me with my card issues and said I should leave. I will not be shopping at Walmart in Bowling Green Ohio again.Date of experience:January 29, 2025",1
Dave Amanns,37K reviews,US,2025-02-11T03:30:24.000Z,"I pay for two items on my order and…I pay for two items on my order and only gotten one. Nearly impossible to get them to send out the second itemDate of experience:February 06, 2025",1
lovepizza,3.6K reviews,US,2025-01-16T03:21:43.000Z,"Greedy con artistsGreedy con artists.  Thousands of cases of customers being robbed. Customer will use self check out, the machine will have issues, customer calls for help, they make you think they fix the problem. You finish your payment and head out the store to be stopped by walmart management accusing you of stealing but you didnt and machine was suppose to be fixed employment aware but accuse you anyway. You get in trouble for walmarts mistake not yours then get a bill sent to you for 200 or more threatening you to pay it to avoid court. Its a scam and evil con walmart is doing to thousands of people and because most dont have the means energy and money to fight it they pay it off. Walmart is getting rich of of this scam. Shop elsewhere walmart is runned by corruption.Date of experience:January 02, 2025",1
Sunandwaves,14K reviews,US,2025-02-06T18:12:15.000Z,"Bad place to workGood  and cheap place to buy groceries, cheapest company ever to get a job. Used to like Walmart as a customers and used to percieve the company as one of HIGH QUALITY STANDARDS so I apply for a job there. To my surpprise this company have a very low quality standards for employees, they gave you training 10 times quarterly about policies to have a good work environment but they don't put what they teach you in action. Is very common see and hear how managers talk to employees in such a disrespectful way. Very important fact is that by many years many employees talked and reported reported to their HR department and corporate about the manager Leshawn at E Colonial Orlando, Fl, letting the company knows information about her continues abuses, micromanagement and disrespecful and bully behavior for over 30+ years against her employees and they KNOWS but NOBODY do or did anything. HR, the managers and directors of the store and region apparently fears her. Someone with high values and ethic standards, who cares aboit their employees and respect over everything and that believe in the company ""high ethic standards"" that they always are mentioning should investigate her very well before is too late, for the honor and reputation of the company and the daily suffering of my ex-coworkers that still there faihful to the company that are not hearing them. Believe me MANY people are suffering because Mrs. Lashawn nonstop abuses. I just wrote this revew because I believe in justice and for the good of their good employees.Date of experience:February 09, 2024",1
A. Z.,10reviews,US,2025-01-15T19:35:23.000Z,"Impossible to speak to an agentImpossible to speak to an agent.  By phone one is just led down a web of automated gibberish that never lets anyone get to an agent.  Absolute garbage app, website, customer service, and in general they treat their employees like crap.Date of experience:January 15, 2025",1
Barry Ferrall,3reviews,US,2025-02-06T18:43:20.000Z,"Order date and order delivery wrongI ordered a toothbrush. The buy now said, “order in the next 27 minutes and receive today.” I placed my order and the confirmation stated, “arrives tomorrow.” That is deceptive, and very much upsets me.Date of experience:February 06, 2025",2
David M,2reviews,US,2025-01-19T04:19:50.000Z,"Unethical, credit card processingThe way they handle credit card transactions is laughable. Credit card was authorized for $228, the actual transaction was $268. And they wait 10 days to finalize the transaction during that time. I don't have access to the money. If they would get off their lazy butt and process things the way that they're supposed to. Nobody there knows what they're doing. And nobody gives a crap when you call.Date of experience:January 15, 2025",1
Camille K.,2reviews,US,2025-01-19T14:12:56.000Z,"Walmart.com deactivated my account for…Walmart.com deactivated my account for terms of use violation??? When I call no one can tell me why.  I have been a walmart plus customer for 5 years..so they took my 100.00 plus money and can't figure out why this was closed or how to reactivate.  I spend at least $1000.00 a month at Walmart yes that is correct $1000.00 per month.  I rarely return anything but I always have a receipt if I do and product is always unused if I return anything...I can not access my receipts which I think is illegal.  Oh and they closed my daughters plus account as well...they outsource their customer service so they know nothingDate of experience:January 13, 2025",1
Marco Marcoli,1review,US,2025-02-03T22:55:33.000Z,"I’ve been working at WalmartI’ve been working at Walmart in California for a while now, and overall, I think it’s a good place to work and shop. The stores have everything you need at affordable prices, and they always have good deals on groceries and household items.As an employee, the job can be busy and sometimes stressful, especially during holidays, but that’s normal in retail. The best part is the teamwork—most coworkers are friendly, and we help each other out. The pay is decent, and you get some benefits like discounts and PTO, which is nice.Customer service can be hit or miss, depending on the location, but that’s mostly because some stores are understaffed. The biggest issue is that sometimes management could listen more to employees and make schedules more flexible.Overall, Walmart is a solid place to shop and work if you know what to expect. Just be patient during peak hours, and you’ll find what you need at a good price!Date of experience:February 03, 2025",4
Jennifer Stogner,1review,US,2025-01-29T19:48:56.000Z,"Lost customer …I just went into Walmart after purchasing four brand new tires on Black Friday and I had a tire that was losing air. When I went in this morning to get it checked I was met by a woman. Her name was Karen who did everything correct in the beginning and became rude. As soon as she kept talking to me my tires were put on by this Walmart and I was told that everything was fine. When they took my tire off they said that I needed a new valve stem and said they did not have it in stock but then went to tell me that I needed a new valve stem which they did not have in but then said that I needed a new tire pressure sensor and they had that in stock which is the same thing as a new tire valve which I never understood and why was this not the same as when they put the tires on in the first place so not only did they have the sensor they could have put on when I got my tires put on but now I got charged extra for it as well as my tire being aired up. I am not happy at all and will never come back to this Walmart again for any of my tires. I felt the people that were helping me were rude and if this could have been fixed when I got my tires put on my car then why would I have to pay for it now?Date of experience:January 29, 2025",1
Borntoshop,3reviews,US,2025-01-28T23:14:31.000Z,"0 stars0 starsReturned an item  weeks ago and they won't issue my credit of $155Order#2000125-65944119Give me my money back!!!!Spoke to an extreme rude woman named Jessica with zero phone etiquette and should not have her job who kept putting me on hold. The tracking said you all received my item weeks ago. Give me my money back!!!!Date of experience:December 30, 2024",1
Debra Alcorn,2reviews,US,2025-01-08T22:40:57.000Z,"Walmart doesn't care about safetyAfter a big ice and snow storm and one roads are clear I needed to pick up a few things. Was I surprised that Walmart doesn't even clean their parking lots. All businesses around them are clear. But Walmart's parking lot is dangerous and almost impossible to push a cart. You're lack of concern for your employees and customers is disgusting. I'll be putting my money elsewhere from now on. And I tried 2 different stores. Same mess. I'm shopping somewhere else today.Date of experience:January 08, 2025",1
Trent Massey,3reviews,US,2025-01-13T17:09:35.000Z,"Walmart is absolutely worthless!!Walmart is absolutely worthless!!! Do NOT order anything off their website.I placed an order 1 month ago! They took my money immediately. They held on to my order for one week before shipping!Two weeks later, no tracking, contact Walmart and they said they will get a hold of the supplier! Walmart and Qungguo then claims it’s delayed because of the natural disasters in California. I called BS and told them they held onto before any fires started in California or any other disasters. I demanded my money back. Walmart then claims that has to come from Qingguo. No response from them.WORTHLESS!!!!  I will one form of another will get my money back!!!Date of experience:January 13, 2025",1
Ryan,37reviews,US,2025-01-04T01:12:42.000Z,"They use shady third party delivery servicesWalmart uses a third party fulfillment service called OnTrac (formerly Lasership), who has ""lost"" my package at the same distribution center twice. Look up their reviews online and you'll see what I mean. I ordered an ultrawide computer monitor TWO TIMES and apparently it's not uncommon for tech items to be ""lost"".It's also near impossible to get a refund from Walmart without calling in 4 or 5 times. I get promised a refund within 48 hours and then have to call in a week later, only to be told again it will be another 48 hours, rinse and repeat. Insane that the 12th largest company in the world operates this way.Date of experience:January 03, 2025",1
